concept_id,preferred_en
math.algebra.ring,ring
math.algebra.module,module
math.algebra.field,field
math.algebra.abelian_group,abelian group
math.category.category,category
math.category.functor,functor
math.category.natural_transformation,natural transformation
math.category.monoidal_category,monoidal category
math.category.limit,limit
math.category.representability,representability
math.category.enrichment,category enrichment
math.algebra.tensor_product,tensor product
math.analysis.completion,completion
math.algebra.submodule,submodule
math.algebra.quotient_module,quotient module
math.algebra.module_homomorphism,module homomorphism
math.category.morphism,morphism
math.category.kernel,kernel
math.category.cokernel,cokernel
math.category.image,image
math.algebra.vector_space,vector space
math.homological.cochain_complex,cochain complex
math.homological.chain_complex,chain complex
math.homological.differential,differential
math.homological.cohomology,cohomology
math.homological.homology,homology
math.homological.exact_sequence,exact sequence
math.homological.acyclic_complex,acyclic complex
math.homological.abelian_category,abelian category
math.homological.homological_algebra,homological algebra
math.topology.genus,genus
math.topology.betti_number,Betti number
math.algebra.torsion,torsion
math.topology.topological_invariant,topological invariant
math.homological.universal_coefficient_theorem,universal coefficient theorem
math.homological.cup_product,cup product
math.homotopy.aspherical_space,aspherical space
math.homotopy.homotopy_group,homotopy group
math.homological.group_cohomology,group cohomology
math.algebra.syzygy,syzygy
math.homological.free_resolution,free resolution
math.homological.group_extension,group extension
math.algebra.derivation,derivation
math.algebra.inner_derivation,inner derivation
math.homological.hochschild_homology,Hochschild homology
math.homological.hochschild_cohomology,Hochschild cohomology
math.algebra.bimodule,bimodule
math.geometry.sheaf,sheaf
math.homological.spectral_sequence,spectral sequence
math.homological.sheaf_cohomology,sheaf cohomology
math.homological.injective_module,injective module
math.homological.projective_module,projective module
math.homological.injective_resolution,injective resolution
math.homological.projective_resolution,projective resolution
math.homological.derived_functor,derived functor
math.category.additive_category,additive category
math.category.strict_morphism,strict morphism
math.homological.delta_functor,δ-functor
math.category.grothendieck_category,Grothendieck category
math.homological.derived_category,derived category
math.homological.quasi_isomorphism,quasi-isomorphism
math.category.localization,categorical localization
math.homological.distinguished_triangle,distinguished triangle
math.homological.shift,shift
math.homological.triangulated_category,triangulated category
math.homotopy.cofiber_sequence,cofiber sequence
math.homological.octahedral_axiom,octahedral axiom
math.homological.derived_equivalence,derived equivalence
math.simplicial.simplicial_set,simplicial set
math.simplicial.simplicial_object,simplicial object
math.simplicial.nerve,nerve
math.simplicial.dold_kan_correspondence,Dold–Kan correspondence
math.category.adjoint_equivalence,adjoint equivalence
math.homological.bar_construction,bar construction
math.homotopy.homotopical_algebra,homotopical algebra
math.ktheory.higher_k_theory,higher K-theory
math.category.infinity_category,∞-category
math.homological.complex,complex
math.homological.t_structure,t-structure
math.representation.tilting_theory,tilting theory
math.category.dg_category,dg-category
math.category.monad_theory,monad theory
math.higher.higher_algebra,higher algebra
math.category.functor_category,functor category
math.category.serre_quotient,Serre quotient
math.category.diagram_chase,diagram chase
math.category.small_category,small category
math.category.fully_faithful,fully faithful
math.category.exact_embedding,exact embedding
math.category.freyd_mitchell_theorem,Freyd–Mitchell embedding theorem
pedagogy.exercise,exercise
pedagogy.hint,hint
publishing.cross_reference,cross-reference
publishing.modular_writing,modular writing
pedagogy.optional_reading,optional reading
pedagogy.reading_guidance,reading guidance
math.category.category_theory,category theory
math.category.object,object
math.set_theory.set,set
math.set_theory.class,class
math.set_theory.proper_class,proper class
math.set_theory.grothendieck_universe,Grothendieck universe
math.set_theory.strongly_inaccessible_cardinal,strongly inaccessible cardinal
math.probability.probability_theory,probability theory
math.measure.measure_theory,measure theory
math.category.kan_extension,Kan extension
math.category.gabriel_zisman_localization,Gabriel–Zisman localization
math.homological.bicomplex,bicomplex
math.homological.mapping_cone,mapping cone
math.homological.k_injective_resolution,K-injective resolution
math.homological.k_projective_resolution,K-projective resolution
math.category.triangulated_functor,triangulated functor
math.homological.exact_couple,exact couple
math.homological.filtered_complex,filtered complex
math.group.group_homology,group homology
math.group.tate_cohomology,Tate cohomology
math.group.profinite_group,profinite group
math.group.profinite_group_cohomology,profinite group cohomology
math.group.nonabelian_cohomology,nonabelian cohomology
math.algebra.differential_graded_structure,differential graded structure
math.algebra.coalgebra,coalgebra
math.algebra.bialgebra,bialgebra
math.algebra.hopf_algebra,Hopf algebra
math.category.beck_monadicity_theorem,Beck monadicity theorem
math.algebra.morita_theory,Morita theory
math.descent.flat_descent_modules,flat descent for modules
math.descent.galois_descent,Galois descent
math.category.duality,duality
math.category.reconstruction_theorem,reconstruction theorem
math.category.tannakian_category,Tannakian category
math.algebra.representation_theory,representation theory
math.category.ind_object,ind-object
math.category.pro_object,pro-object
math.category.ind_construction,Ind-construction
publishing.errata,errata
math.foundations.well_defined,well-defined
math.order.partially_ordered_set,partially ordered set
math.order.preordered_set,preordered set
math.order.maximal_element,maximal element
math.order.minimal_element,minimal element
math.order.upper_bound,upper bound
math.order.lower_bound,lower bound
math.order.supremum,supremum
math.order.infimum,infimum
math.order.order_preserving_map,order-preserving map
math.order.order_isomorphism,order isomorphism
math.order.totally_ordered_set,totally ordered set
math.order.well_ordered_set,well-ordered set
math.set_theory.ordinal,ordinal
math.set_theory.cardinal,cardinal
math.set_theory.small_set,small set
math.set_theory.small_cardinal,small cardinal
math.category.monomorphism,monomorphism
math.category.epimorphism,epimorphism
math.category.full_subcategory,full subcategory
math.category.product_category,product category
math.category.discrete_category,discrete category
math.category.u_category,U-category
math.category.large_category,large category
math.category.size_issues,size issues
math.category.faithful_functor,faithful functor
math.category.essentially_surjective_functor,essentially surjective functor
math.category.two_cell,2-cell
math.category.opposite_category,opposite category
math.category.quasi_inverse,quasi-inverse
math.category.equivalence,equivalence of categories
math.category.category_isomorphism,isomorphism of categories
math.algebra.zero_divisor,zero divisor
math.category.adjunction,adjunction
math.category.adjunction_unit,unit of an adjunction
math.category.adjunction_counit,counit of an adjunction
math.category.triangle_identities,triangle identities
math.category.colimit,colimit
math.category.small_limit,small limit
math.category.complete_category,complete category
math.category.cocomplete_category,cocomplete category
math.category.universal_property,universal property
math.category.equalizer,equalizer
math.category.coequalizer,coequalizer
math.category.product,product
math.category.coproduct,coproduct
math.algebra.direct_sum,direct sum
math.category.yoneda_embedding,Yoneda embedding
math.category.terminal_object,terminal object
math.category.initial_object,initial object
math.category.zero_object,zero object
math.category.zero_morphism,zero morphism
math.category.fiber_product,fiber product
math.category.fiber_coproduct,fiber coproduct
math.category.pullback,pullback
math.category.pushout,pushout
math.category.subobject,subobject
math.category.quotient_object,quotient object
math.category.coimage,coimage
math.category.ab_category,Ab-category
math.category.additive_functor,additive functor
math.category.k_linear_category,k-linear category
math.category.preserves_limit,preservation of limits
math.category.creates_limit,creation of limits
math.category.cofinal_functor,cofinal functor
math.category.filtered_inductive_limit,filtered inductive limit
math.category.absolute_kan_extension,absolute Kan extension
math.category.multiplicative_system,multiplicative system
math.category.adjoint_functor_theorem,adjoint functor theorem
math.category.generator,generator
math.category.cogenerator,cogenerator
math.category.left_cancellation_law,left cancellation law
math.category.right_cancellation_law,right cancellation law
math.category.subquotient,subquotient
math.category.canonical_morphism,canonical morphism
