diagram_id,unit_filename,local_order,alt_text_en,provenance
prelude-unit-002-d001,prelude-unit-002.tex,1,Category diagram: \mathrm{N}: \cate{sAb} → \cate{Ch}_{\geq 0}(\cate{Ab}): \Gamma; \cate{Ch}_{\geq 0}(\cate{Ab}): \Gamma → \mathrm{N}: \cate{sAb}.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:1; source/en/prelude-unit-002.tex:diagram 1; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-d001,prelude-unit-007.tex,1,Category diagram: A → B (f); A → C (h); B → C (g).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:2; source/en/prelude-unit-007.tex:diagram 1; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-diagram-002,prelude-unit-007.tex,2,"Natural-transformation diagram with objects C, D. Arrows: C maps to D, labeled F; C maps to D, labeled G; a 2-cell from F to G, labeled phi.",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:3; source/en/prelude-unit-007.tex:diagram 2; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-diagram-003,prelude-unit-007.tex,3,"Commutative diagram with objects B, C, D, E. Arrows: B maps to C, labeled R; C maps to D, labeled F; C maps to D, labeled G; D maps to E, labeled L.",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:4; source/en/prelude-unit-007.tex:diagram 3; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-diagram-004,prelude-unit-007.tex,4,"Commutative diagram with objects C, C'. Arrows: C maps to C', labeled F; C' maps to C, labeled G.",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:5; source/en/prelude-unit-007.tex:diagram 4; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-d002,prelude-unit-007.tex,5,Category diagram: \mathcal{C} → \mathcal{D} . (F); \mathcal{C} → \mathcal{D} . (G); \mathcal{D} . ⇒ \mathcal{D} . (\varphi).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:6; source/en/prelude-unit-007.tex:diagram 5; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-diagram-006,prelude-unit-007.tex,6,"Triangle-identity diagram for the functors G:C' to C and F:C to C'. It compares the composite FG with id_C' by the counit epsilon and compares id_C with GF by the unit eta along the chain G, F, G.",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:7; source/en/prelude-unit-007.tex:diagram 6; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-diagram-007,prelude-unit-007.tex,7,Natural-transformation diagram with two parallel copies of G:C' to C and the identity 2-cell id_G between them.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:8; source/en/prelude-unit-007.tex:diagram 7; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-diagram-008,prelude-unit-007.tex,8,"Triangle-identity diagram for the functors F:C to C' and G:C' to C. It compares id_C with GF by the unit eta and compares FG with id_C' by the counit epsilon along the chain F, G, F.",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:9; source/en/prelude-unit-007.tex:diagram 8; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-diagram-009,prelude-unit-007.tex,9,Natural-transformation diagram with two parallel copies of F:C to C' and the identity 2-cell id_F between them.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:10; source/en/prelude-unit-007.tex:diagram 9; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-diagram-010,prelude-unit-007.tex,10,"Commutative diagram with objects X, Y. Arrows: X maps to Y, labeled f; X maps to Y, labeled g.",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:11; source/en/prelude-unit-007.tex:diagram 10; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-diagram-011,prelude-unit-007.tex,11,"Universal-property bijection for the equalizer: Hom(T, Ker(f,g)) is identified with maps phi:T to X satisfying f phi = g phi; a map psi is sent to iota composed with psi.",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:12; source/en/prelude-unit-007.tex:diagram 11; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-diagram-012,prelude-unit-007.tex,12,"Universal-property bijection for the coequalizer: Hom(Coker(f,g), T) is identified with maps phi:Y to T satisfying phi f = phi g; a map psi is sent to psi composed with the quotient p.",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:13; source/en/prelude-unit-007.tex:diagram 12; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-diagram-013,prelude-unit-007.tex,13,"Product universal-property bijection from Hom(T, product over i of X_i) to the product over i of Hom(T,X_i), sending psi to the family of components p_i composed with psi.",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:14; source/en/prelude-unit-007.tex:diagram 13; tikzcd; mapped_indonesian_structure_witness
